pruning,,hanoi4-14_h2,hanoi4-14_h2,hanoi4-14_h1,hanoi4-14_h1,hanoi4-14_h0,hanoi4-14_h0
algorithm,,bfs,iddfs,bfs,iddfs,bfs,iddfs
file,instance,,,,,,
hanoi_4p14d.d=2000000,0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1,"(False, '15700579', '2616769')","(False, '11775854', '1962647')","(False, '17339221', '2889876')","(False, '16635164', '2772540')","(False, '15899497', '2649922')","(False, '13125811', '2187641')"
hanoi_4p14d.d=2000000,0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1,"(False, '11615891', '1935985')","(False, '17433226', '2905549')","(False, '12303167', '2050533')","(False, '13468386', '2244740')","(False, '12722765', '2120466')","(False, '13321181', '2220204')"
hanoi_4p14d.d=2000000,0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0,"(False, '12768925', '2128156')","(False, '17520654', '2920118')","(False, '17320039', '2886678')","(False, '12734441', '2122414')","(False, '12919447', '2153245')","(False, '12296104', '2049357')"
hanoi_4p14d.d=2000000,0 0 0 1 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 1,"(False, '12736790', '2122805')","(False, '13027648', '2171282')","(False, '13242338', '2207063')","(False, '12808776', '2134803')","(False, '12220466', '2036750')","(False, '13199328', '2199898')"
hanoi_4p14d.d=2000000,0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0,"(False, '12528883', '2088163')","(False, '16532105', '2755363')","(False, '13062865', '2177148')","(False, '13609226', '2268211')","(False, '17235109', '2872526')","(False, '13617940', '2269664')"
hanoi_4p14d.d=2000000,0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0,"(False, '16880509', '2813423')","(False, '13017199', '2169539')","(False, '13262035', '2210343')","(False, '18079829', '3013315')","(False, '12148357', '2024729')","(False, '13269695', '2211621')"
hanoi_4p14d.d=2000000,0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0,"(False, '11688547', '1948095')","(False, '13193067', '2198852')","(False, '12253987', '2042333')","(False, '17800656', '2966788')","(False, '13194343', '2199062')","(False, '13398129', '2233028')"
hanoi_4p14d.d=2000000,0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1,"(False, '12830125', '2138358')","(False, '11934109', '1989023')","(False, '12169717', '2028290')","(False, '13183397', '2197240')","(False, '13268131', '2211360')","(False, '13614892', '2269155')"
hanoi_4p14d.d=2000000,0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1,"(False, '12658981', '2109834')","(False, '13118172', '2186370')","(False, '12904387', '2150735')","(False, '17123815', '2853978')","(False, '13110409', '2185073')","(False, '13584999', '2264175')"
hanoi_4p14d.d=2000000,0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '12652321', '2108725')","(False, '17630563', '2938438')","(False, '12189571', '2031597')","(False, '16559513', '2759929')","(False, '12237439', '2039575')","(False, '13574817', '2262475')"
hanoi_4p14d.d=015,0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '49246', '8311')","(True, '59234', '9993')","(True, '49246', '8311')","(True, '59234', '9993')","(True, '49246', '8311')","(True, '59234', '9993')"
hanoi_4p14d.d=015,0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '3742', '642')","(True, '4514', '776')","(True, '3742', '642')","(True, '4514', '776')","(True, '3742', '642')","(True, '4514', '776')"
hanoi_4p14d.d=015,0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '1347', '232')","(True, '1625', '281')","(True, '1347', '232')","(True, '1625', '281')","(True, '1347', '232')","(True, '1625', '281')"
hanoi_4p14d.d=015,0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '436', '78')","(True, '530', '97')","(True, '436', '78')","(True, '530', '97')","(True, '436', '78')","(True, '530', '97')"
hanoi_4p14d.d=015,0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')"
hanoi_4p14d.d=015,1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '4944', '848')","(True, '5964', '1024')","(True, '4944', '848')","(True, '5964', '1024')","(True, '4944', '848')","(True, '5964', '1024')"
hanoi_4p14d.d=015,0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')"
hanoi_4p14d.d=015,0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '766591', '129976')","(True, '923118', '156534')","(True, '766591', '129976')","(True, '923118', '156534')","(True, '766591', '129976')","(True, '923118', '156534')"
hanoi_4p14d.d=015,1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '434', '78')","(True, '528', '97')","(True, '434', '78')","(True, '528', '97')","(True, '434', '78')","(True, '528', '97')"
hanoi_4p14d.d=015,0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '51792', '8752')","(True, '62319', '10532')","(True, '51792', '8752')","(True, '62319', '10532')","(True, '51792', '8752')","(True, '62319', '10532')"
hanoi_4p14d.d=005,0 0 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '4945', '848')","(True, '5965', '1024')","(True, '4945', '848')","(True, '5965', '1024')","(True, '4945', '848')","(True, '5965', '1024')"
hanoi_4p14d.d=005,0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')"
hanoi_4p14d.d=005,0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '436', '78')","(True, '530', '97')","(True, '436', '78')","(True, '530', '97')","(True, '436', '78')","(True, '530', '97')"
hanoi_4p14d.d=005,0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '3742', '642')","(True, '4514', '776')","(True, '3742', '642')","(True, '4514', '776')","(True, '3742', '642')","(True, '4514', '776')"
hanoi_4p14d.d=005,0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')"
hanoi_4p14d.d=005,1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '17866', '3069')","(True, '21571', '3710')","(True, '17866', '3069')","(True, '21571', '3710')","(True, '17866', '3069')","(True, '21571', '3710')"
hanoi_4p14d.d=005,0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')"
hanoi_4p14d.d=005,0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '436', '78')","(True, '530', '97')","(True, '436', '78')","(True, '530', '97')","(True, '436', '78')","(True, '530', '97')"
hanoi_4p14d.d=010,0 1 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '5355', '934')","(True, '6485', '1134')","(True, '5355', '934')","(True, '6485', '1134')","(True, '5355', '934')","(True, '6485', '1134')"
hanoi_4p14d.d=010,0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')"
hanoi_4p14d.d=010,0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')"
hanoi_4p14d.d=010,1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '12137', '2090')","(True, '14661', '2529')","(True, '12137', '2090')","(True, '14661', '2529')","(True, '12137', '2090')","(True, '14661', '2529')"
hanoi_4p14d.d=010,1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '3743', '642')","(True, '4515', '776')","(True, '3743', '642')","(True, '4515', '776')","(True, '3743', '642')","(True, '4515', '776')"
hanoi_4p14d.d=010,0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')"
hanoi_4p14d.d=010,0 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '1807998', '302392')","(True, '2171059', '363068')","(True, '1807998', '302392')","(True, '2171059', '363068')","(True, '1807998', '302392')","(True, '2171059', '363068')"
hanoi_4p14d.d=010,0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')","(True, '129', '23')","(True, '156', '29')"
hanoi_4p14d.d=010,0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')","(True, '6', '1')","(True, '7', '2')"
hanoi_4p14d.d=2000,0 0 1 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '11604122', '1934091')","(False, '16922664', '2820535')","(False, '16873763', '2812406')","(False, '13481818', '2247049')","(False, '17538167', '2923138')","(False, '13223808', '2204046')"
hanoi_4p14d.d=2000,1 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '13008758', '2168175')","(False, '12992116', '2165401')","(False, '11951293', '1991928')","(False, '13146963', '2191250')","(False, '11899052', '1983222')","(False, '13424321', '2237436')"
hanoi_4p14d.d=2000,0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '16500131', '2750053')","(False, '12704846', '2117497')","(False, '12909213', '2151563')","(False, '17804233', '2967411')","(False, '12835471', '2139271')","(False, '13173730', '2195648')"
hanoi_4p14d.d=2000,0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '12736603', '2122778')","(False, '15626513', '2604434')","(False, '12555349', '2092566')","(False, '13129516', '2188260')","(False, '11851885', '1975322')","(False, '12094653', '2015782')"
hanoi_4p14d.d=2000,0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '14527432', '2421583')","(False, '11374734', '1895791')","(False, '16827472', '2804585')","(False, '13116096', '2186022')","(False, '12896062', '2149347')","(False, '12871728', '2145296')"
hanoi_4p14d.d=2000,0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '14715789', '2453748')","(False, '16706499', '2785643')","(False, '12726048', '2122014')","(False, '12184869', '2031720')","(False, '11838749', '1974058')","(False, '16374585', '2730315')"
hanoi_4p14d.d=2000,0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '16050623', '2675110')","(False, '12714144', '2119032')","(False, '11803645', '1967278')","(False, '16856793', '2809475')","(False, '16974727', '2829127')","(False, '12819557', '2136599')"
hanoi_4p14d.d=2000,0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '15521243', '2586884')","(False, '12596084', '2099354')","(False, '16677285', '2779556')","(False, '16986513', '2831101')","(False, '12195893', '2032656')","(False, '12589907', '2098327')"
hanoi_4p14d.d=2000,1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '11719827', '1953334')","(False, '17915145', '2985899')","(False, '17005660', '2834466')","(False, '12168383', '2028096')","(False, '16976130', '2829390')","(False, '12148625', '2024804')"
hanoi_4p14d.d=2000,0 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0 1 0 0 0,"(False, '12064462', '2024233')","(False, '18021885', '3024129')","(False, '13009610', '2183128')","(False, '16381687', '2749060')","(False, '11908058', '1997952')","(False, '12223512', '2052170')"
